# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct  2 11:45:09 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag =1
# CONSTRAINT:  and disc_facility like '%TESS%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN tic_id:         TIC ID
# COLUMN gaia_id:        GAIA ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN disc_facility:  Discovery Facility
#
pl_name,hostname,tic_id,gaia_id,default_flag,disc_facility
HD 15337 b,HD 15337,TIC 120896927,Gaia DR2 5068777809824976256,1,Transiting Exoplanet Survey Satellite (TESS)
HD 15337 c,HD 15337,TIC 120896927,Gaia DR2 5068777809824976256,1,Transiting Exoplanet Survey Satellite (TESS)
HD 15906 b,HD 15906,TIC 4646810,Gaia DR2 5175239363214344960,1,Transiting Exoplanet Survey Satellite (TESS)
HD 15906 c,HD 15906,TIC 4646810,Gaia DR2 5175239363214344960,1,Transiting Exoplanet Survey Satellite (TESS)
HD 183579 b,HD 183579,TIC 320004517,Gaia DR2 6641996571978861440,1,Transiting Exoplanet Survey Satellite (TESS)
HD 18599 b,HD 18599,TIC 207141131,Gaia DR2 4728513943538448512,1,Transiting Exoplanet Survey Satellite (TESS)
HD 191939 b,HD 191939,TIC 269701147,Gaia DR2 2248126315275354496,1,Transiting Exoplanet Survey Satellite (TESS)
HD 191939 c,HD 191939,TIC 269701147,Gaia DR2 2248126315275354496,1,Transiting Exoplanet Survey Satellite (TESS)
HD 191939 d,HD 191939,TIC 269701147,Gaia DR2 2248126315275354496,1,Transiting Exoplanet Survey Satellite (TESS)
HD 202772 A b,HD 202772 A,TIC 290131778,Gaia DR2 6790773586275235200,1,Transiting Exoplanet Survey Satellite (TESS)
HD 20329 b,HD 20329,TIC 333657795,Gaia DR2 30398648945512960,1,Transiting Exoplanet Survey Satellite (TESS)
HD 207496 b,HD 207496,TIC 290348383,Gaia DR2 6356417496318028800,1,Transiting Exoplanet Survey Satellite (TESS)
HD 207897 b,HD 207897,TIC 264678534,Gaia DR2 2300641567596591488,1,Transiting Exoplanet Survey Satellite (TESS)
HD 213885 b,HD 213885,TIC 403224672,Gaia DR2 6407428994690988928,1,Transiting Exoplanet Survey Satellite (TESS)
HD 21520 b,HD 21520,TIC 404518509,Gaia DR2 4847732649308331648,1,Transiting Exoplanet Survey Satellite (TESS)
HD 21749 c,GJ 143,TIC 279741379,Gaia DR2 4673947174316727040,1,Transiting Exoplanet Survey Satellite (TESS)
HD 219666 b,HD 219666,TIC 266980320,Gaia DR2 6492940453524576128,1,Transiting Exoplanet Survey Satellite (TESS)
HD 221416 b,HD 221416,TIC 441462736,Gaia DR2 2388463203438164096,1,Transiting Exoplanet Survey Satellite (TESS)
HD 22946 d,HD 22946,TIC 100990000,Gaia DR2 4848767461548943104,1,Transiting Exoplanet Survey Satellite (TESS)
HD 23472 b,HD 23472,TIC 425997655,Gaia DR2 4674216245427964416,1,Transiting Exoplanet Survey Satellite (TESS)
HD 23472 c,HD 23472,TIC 425997655,Gaia DR2 4674216245427964416,1,Transiting Exoplanet Survey Satellite (TESS)
HD 23472 d,HD 23472,TIC 425997655,Gaia DR2 4674216245427964416,1,Transiting Exoplanet Survey Satellite (TESS)
HD 23472 e,HD 23472,TIC 425997655,Gaia DR2 4674216245427964416,1,Transiting Exoplanet Survey Satellite (TESS)
HD 23472 f,HD 23472,TIC 425997655,Gaia DR2 4674216245427964416,1,Transiting Exoplanet Survey Satellite (TESS)
HD 235088 b,HD 235088,TIC 293954617,Gaia DR2 2089570519439964416,1,Transiting Exoplanet Survey Satellite (TESS)
HD 25463 b,HD 25463,TIC 407966340,Gaia DR2 3301771025223950336,1,Transiting Exoplanet Survey Satellite (TESS)
HD 25463 c,HD 25463,TIC 407966340,Gaia DR2 3301771025223950336,1,Transiting Exoplanet Survey Satellite (TESS)
HD 260655 b,HD 260655,TIC 307809773,Gaia DR2 3359074685047632640,1,Transiting Exoplanet Survey Satellite (TESS)
HD 260655 c,HD 260655,TIC 307809773,Gaia DR2 3359074685047632640,1,Transiting Exoplanet Survey Satellite (TESS)
HD 2685 b,HD 2685,TIC 267263253,Gaia DR2 4684205720883329920,1,Transiting Exoplanet Survey Satellite (TESS)
HD 28109 b,HD 28109,TIC 29781292,Gaia DR2 4668163021600295552,1,Transiting Exoplanet Survey Satellite (TESS)
HD 28109 c,HD 28109,TIC 29781292,Gaia DR2 4668163021600295552,1,Transiting Exoplanet Survey Satellite (TESS)
HD 28109 d,HD 28109,TIC 29781292,Gaia DR2 4668163021600295552,1,Transiting Exoplanet Survey Satellite (TESS)
HD 332231 b,HD 332231,TIC 199376584,Gaia DR2 2056007995732413312,1,Transiting Exoplanet Survey Satellite (TESS)
HD 42813 b,HD 42813,TIC 33692729,Gaia DR2 2993561629444856960,1,Transiting Exoplanet Survey Satellite (TESS)
HD 5278 b,HD 5278,TIC 263003176,Gaia DR2 4617759514501503616,1,Transiting Exoplanet Survey Satellite (TESS)
HD 56414 b,HD 56414,TIC 300038935,Gaia DR2 5268547016621360768,1,Transiting Exoplanet Survey Satellite (TESS)
HD 6061 b,HD 6061,TIC 352413427,Gaia DR2 369669965470499456,1,Transiting Exoplanet Survey Satellite (TESS)
HD 63433 b,HD 63433,TIC 130181866,Gaia DR2 875071278432954240,1,Transiting Exoplanet Survey Satellite (TESS)
HD 63433 c,HD 63433,TIC 130181866,Gaia DR2 875071278432954240,1,Transiting Exoplanet Survey Satellite (TESS)
HD 63433 d,HD 63433,TIC 130181866,Gaia DR2 875071278432954240,1,Transiting Exoplanet Survey Satellite (TESS)
HD 63935 b,HD 63935,TIC 453211454,Gaia DR2 3145754895088191744,1,Transiting Exoplanet Survey Satellite (TESS)
HD 73583 b,HD 73583,TIC 101011575,Gaia DR2 5746824674801810816,1,Transiting Exoplanet Survey Satellite (TESS)
HD 73583 c,HD 73583,TIC 101011575,Gaia DR2 5746824674801810816,1,Transiting Exoplanet Survey Satellite (TESS)
HD 77946 b,HD 77946,TIC 39699648,Gaia DR2 1011435012611142784,1,Transiting Exoplanet Survey Satellite (TESS)
HD 86226 c,HD 86226,TIC 22221375,Gaia DR2 5660492297395345408,1,Transiting Exoplanet Survey Satellite (TESS)
HD 93963 A b,HD 93963 A,TIC 368435330,Gaia DR2 729899906357408768,1,Transiting Exoplanet Survey Satellite (TESS)
HD 93963 A c,HD 93963 A,TIC 368435330,Gaia DR2 729899906357408768,1,Transiting Exoplanet Survey Satellite (TESS)
HIP 113103 b,HIP 113103,TIC 121490076,Gaia DR2 6541360574788758016,1,Transiting Exoplanet Survey Satellite (TESS)
HIP 113103 c,HIP 113103,TIC 121490076,Gaia DR2 6541360574788758016,1,Transiting Exoplanet Survey Satellite (TESS)
HIP 65 A b,HIP 65 A,TIC 201248411,Gaia DR2 4923860051276772608,1,Transiting Exoplanet Survey Satellite (TESS)
HIP 67522 b,HIP 67522,TIC 166527623,Gaia DR2 6113920619134019456,1,Transiting Exoplanet Survey Satellite (TESS)
HIP 8152 b,HIP 8152,TIC 164767175,Gaia DR2 5140454049422547200,1,Transiting Exoplanet Survey Satellite (TESS)
HIP 8152 c,HIP 8152,TIC 164767175,Gaia DR2 5140454049422547200,1,Transiting Exoplanet Survey Satellite (TESS)
HIP 94235 b,HIP 94235,TIC 464646604,Gaia DR2 6632318361397624960,1,Transiting Exoplanet Survey Satellite (TESS)
HIP 9618 b,HIP 9618,TIC 306263608,Gaia DR2 94468978202180352,1,Transiting Exoplanet Survey Satellite (TESS)
HIP 9618 c,HIP 9618,TIC 306263608,Gaia DR2 94468978202180352,1,Transiting Exoplanet Survey Satellite (TESS)
HIP 97166 b,HIP 97166,TIC 237222864,Gaia DR2 2288221003213039488,1,Transiting Exoplanet Survey Satellite (TESS)
HR 858 b,HR 858,TIC 178155732,Gaia DR2 5064574720469473792,1,Transiting Exoplanet Survey Satellite (TESS)
HR 858 c,HR 858,TIC 178155732,Gaia DR2 5064574720469473792,1,Transiting Exoplanet Survey Satellite (TESS)
HR 858 d,HR 858,TIC 178155732,Gaia DR2 5064574720469473792,1,Transiting Exoplanet Survey Satellite (TESS)
L 168-9 b,L 168-9,TIC 234994474,Gaia DR2 6491962296196145664,1,Transiting Exoplanet Survey Satellite (TESS)
L 98-59 b,L 98-59,TIC 307210830,Gaia DR2 5271055243163629056,1,Transiting Exoplanet Survey Satellite (TESS)
L 98-59 c,L 98-59,TIC 307210830,Gaia DR2 5271055243163629056,1,Transiting Exoplanet Survey Satellite (TESS)
L 98-59 d,L 98-59,TIC 307210830,Gaia DR2 5271055243163629056,1,Transiting Exoplanet Survey Satellite (TESS)
LHS 1478 b,LHS 1478,TIC 396562848,Gaia DR2 549007291282705024,1,Transiting Exoplanet Survey Satellite (TESS)
LHS 1678 b,LHS 1678,TIC 77156829,Gaia DR2 4864160624337973248,1,Transiting Exoplanet Survey Satellite (TESS)
LHS 1678 c,LHS 1678,TIC 77156829,Gaia DR2 4864160624337973248,1,Transiting Exoplanet Survey Satellite (TESS)
LHS 1678 d,LHS 1678,TIC 77156829,Gaia DR2 4864160624337973248,1,Transiting Exoplanet Survey Satellite (TESS)
LHS 1815 b,LHS 1815,TIC 260004324,Gaia DR2 5500061456275483776,1,Transiting Exoplanet Survey Satellite (TESS)
LHS 3844 b,LHS 3844,TIC 410153553,Gaia DR2 6385548541499112448,1,Transiting Exoplanet Survey Satellite (TESS)
LHS 475 b,LHS 475,TIC 369327947,Gaia DR2 6347643496607835520,1,Transiting Exoplanet Survey Satellite (TESS)
LP 714-47 b,LP 714-47,TIC 70899085,Gaia DR2 3189306030970782208,1,Transiting Exoplanet Survey Satellite (TESS)
LP 791-18 b,LP 791-18,TIC 181804752,Gaia DR2 3562427951852172288,1,Transiting Exoplanet Survey Satellite (TESS)
LP 791-18 c,LP 791-18,TIC 181804752,Gaia DR2 3562427951852172288,1,Transiting Exoplanet Survey Satellite (TESS)
LP 890-9 b,LP 890-9,TIC 44898913,Gaia DR2 4886243456388510720,1,Transiting Exoplanet Survey Satellite (TESS)
LTT 1445 A b,LTT 1445 A,TIC 98796344,Gaia DR2 5153091836072107136,1,Transiting Exoplanet Survey Satellite (TESS)
LTT 1445 A c,LTT 1445 A,TIC 98796344,Gaia DR2 5153091836072107136,1,Transiting Exoplanet Survey Satellite (TESS)
LTT 3780 b,LTT 3780,TIC 36724087,Gaia DR2 3767281845873242112,1,Transiting Exoplanet Survey Satellite (TESS)
LTT 3780 c,LTT 3780,TIC 36724087,Gaia DR2 3767281845873242112,1,Transiting Exoplanet Survey Satellite (TESS)
LTT 9779 b,LTT 9779,TIC 183985250,Gaia DR2 2307504062045842688,1,Transiting Exoplanet Survey Satellite (TESS)
NGTS-11 b,NGTS-11,TIC 54002556,Gaia DR2 2453680078509741056,1,Transiting Exoplanet Survey Satellite (TESS)
NGTS-20 b,NGTS-20,TIC 257527578,Gaia DR2 5078704372599743104,1,Transiting Exoplanet Survey Satellite (TESS)
NGTS-27 b,NGTS-27,TIC 305739565,Gaia DR2 6171451912217279872,1,Transiting Exoplanet Survey Satellite (TESS)
NGTS-30 b,NGTS-30,TIC 322807371,Gaia DR2 3533836281547278848,1,Transiting Exoplanet Survey Satellite (TESS)
TIC 139270665 b,TIC 139270665,TIC 139270665,Gaia DR2 902448598271728256,1,Transiting Exoplanet Survey Satellite (TESS)
TIC 172900988 b,TIC 172900988 Aa,TIC 172900988,Gaia DR2 709709093301608448,1,Transiting Exoplanet Survey Satellite (TESS)
TIC 237913194 b,TIC 237913194,TIC 237913194,Gaia DR2 4715813347286590080,1,Transiting Exoplanet Survey Satellite (TESS)
TIC 241249530 b,TIC 241249530,TIC 241249530,Gaia DR2 995754258812449024,1,Transiting Exoplanet Survey Satellite (TESS)
TIC 257060897 b,TIC 257060897,TIC 257060897,Gaia DR2 1697129530714536320,1,Transiting Exoplanet Survey Satellite (TESS)
TIC 279401253 b,TIC 279401253,TIC 279401253,Gaia DR2 5110565749968529024,1,Transiting Exoplanet Survey Satellite (TESS)
TIC 365102760 b,TIC 365102760,TIC 365102760,Gaia DR2 2185044477033336064,1,Transiting Exoplanet Survey Satellite (TESS)
TIC 393818343 b,TIC 393818343,TIC 393818343,Gaia DR2 4233021433662981760,1,Transiting Exoplanet Survey Satellite (TESS)
TIC 46432937 b,TIC 46432937,TIC 46432937,Gaia DR2 2984391358868786816,1,Transiting Exoplanet Survey Satellite (TESS)
TIC 4672985 b,TIC 4672985,TIC 4672985,Gaia DR2 5172202413314737152,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1052 b,TOI-1052,TIC 317060587,Gaia DR2 6357524189130820992,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1062 b,TOI-1062,TIC 299799658,Gaia DR2 4632865331094140928,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1064 b,TOI-1064,TIC 79748331,Gaia DR2 6683371847364921088,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1064 c,TOI-1064,TIC 79748331,Gaia DR2 6683371847364921088,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1075 b,TOI-1075,TIC 351601843,Gaia DR2 6426188308031756288,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1107 b,TOI-1107,TIC 394561119,Gaia DR2 5192364501633274880,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1130 b,TOI-1130,TIC 254113311,Gaia DR2 6715688452614516736,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1130 c,TOI-1130,TIC 254113311,Gaia DR2 6715688452614516736,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1135 b,TOI-1135,TIC 154872375,Gaia DR2 1726858366624544640,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136 b,TOI-1136,TIC 142276270,Gaia DR2 1677343097418015488,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136 c,TOI-1136,TIC 142276270,Gaia DR2 1677343097418015488,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136 d,TOI-1136,TIC 142276270,Gaia DR2 1677343097418015488,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136 e,TOI-1136,TIC 142276270,Gaia DR2 1677343097418015488,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136 f,TOI-1136,TIC 142276270,Gaia DR2 1677343097418015488,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1136 g,TOI-1136,TIC 142276270,Gaia DR2 1677343097418015488,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1173 b,TOI-1173,TIC 232967440,Gaia DR2 1686171213716517504,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1174 b,TOI-1174,TIC 154089169,Gaia DR2 1674293361400214272,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1180 b,TOI-1180,TIC 158002130,Gaia DR2 1722026764638625280,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1181 b,TOI-1181,TIC 229510866,Gaia DR2 2241587416546520320,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1184 b,TOI-1184,TIC 233087860,Gaia DR2 2158781336134901760,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1194 b,TOI-1194,TIC 147950620,Gaia DR2 1074139748425931008,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1199 b,TOI-1199,TIC 99869022,Gaia DR2 861975270310252416,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1201 b,TOI-1201,TIC 29960110,Gaia DR2 5157183324996790272,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-122 b,TOI-122,TIC 231702397,Gaia DR2 6411096106487783296,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1221 b,TOI-1221,TIC 349095149,Gaia DR2 5282270089967734912,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1224 b,TOI-1224,TIC 299798795,Gaia DR2 4620009665047355520,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1224 c,TOI-1224,TIC 299798795,Gaia DR2 4620009665047355520,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1227 b,TOI-1227,TIC 360156606,Gaia DR2 5842480953772012928,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1231 b,TOI-1231,TIC 447061717,Gaia DR2 5357465071715078016,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1235 b,TOI-1235,TIC 103633434,Gaia DR2 1070387905514406400,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1244 b,TOI-1244,TIC 219850915,Gaia DR2 1649087121757063040,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1246 b,TOI-1246,TIC 230127302,Gaia DR2 1650110904522335744,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1246 c,TOI-1246,TIC 230127302,Gaia DR2 1650110904522335744,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1246 d,TOI-1246,TIC 230127302,Gaia DR2 1650110904522335744,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1246 e,TOI-1246,TIC 230127302,Gaia DR2 1650110904522335744,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1248 b,TOI-1248,TIC 232612416,Gaia DR2 1438888501713397760,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1249 b,TOI-1249,TIC 232976128,Gaia DR2 1678371724905519744,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-125 b,TOI-125,TIC 52368076,Gaia DR2 4698692744355471616,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-125 c,TOI-125,TIC 52368076,Gaia DR2 4698692744355471616,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-125 d,TOI-125,TIC 52368076,Gaia DR2 4698692744355471616,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1259 A b,TOI-1259 A,TIC 288735205,Gaia DR2 2294170838587572736,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1260 b,TOI-1260,TIC 355867695,Gaia DR2 1053809778428567680,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1260 c,TOI-1260,TIC 355867695,Gaia DR2 1053809778428567680,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1260 d,TOI-1260,TIC 355867695,Gaia DR2 1053809778428567680,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1266 b,TOI-1266,TIC 467179528,Gaia DR2 1678074272650459008,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1266 c,TOI-1266,TIC 467179528,Gaia DR2 1678074272650459008,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1268 b,TOI-1268,TIC 142394656,Gaia DR2 1675923005135391488,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1269 b,TOI-1269,TIC 198241702,Gaia DR2 1635108588053258752,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1272 b,TOI-1272,TIC 417948359,Gaia DR2 1556242405699527424,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1273 b,TOI-1273,TIC 445859771,Gaia DR2 1611685760565507840,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1278 b,TOI-1278,TIC 163539739,Gaia DR2 1867491607542113536,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1279 b,TOI-1279,TIC 224297258,Gaia DR2 1574358783911530624,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-128.01,TOI-128,TIC 391949880,Gaia DR2 4621607053580909568,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1288 b,TOI-1288,TIC 365733349,Gaia DR2 2245652826430109184,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1294 b,TOI-1294,TIC 219015370,Gaia DR2 1695343683312903168,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1296 b,TOI-1296,TIC 219854185,Gaia DR2 1650851223740149504,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1298 b,TOI-1298,TIC 237104103,Gaia DR2 1647136729864424576,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-132 b,TOI-132,TIC 89020549,Gaia DR2 6520880040423258240,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1333 b,TOI-1333,TIC 395171208,Gaia DR2 1978027916667478656,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1338 b,TOI-1338 A,TIC 260128333,Gaia DR2 5494443978353833088,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1347 b,TOI-1347,TIC 229747848,Gaia DR2 2265406171296388992,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1347 c,TOI-1347,TIC 229747848,Gaia DR2 2265406171296388992,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1386 b,TOI-1386,TIC 343019899,Gaia DR2 2005028761147595648,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-139 b,TOI-139,TIC 62483237,Gaia DR2 6598814657249555328,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1408 b,TOI-1408,TIC 364186197,Gaia DR2 2275130045974715904,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1408 c,TOI-1408,TIC 364186197,Gaia DR2 2275130045974715904,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1410.01,TOI-1410,TIC 199444169,Gaia DR2 1958584565350234752,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1411 b,TOI-1411,TIC 116483514,Gaia DR2 1401760747118886016,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1416 b,TOI-1416,TIC 158025009,Gaia DR2 1491634483976350720,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1420 b,TOI-1420,TIC 321857016,Gaia DR2 2221164434736927360,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1422 b,TOI-1422,TIC 333473672,Gaia DR2 1920333449169516288,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1431 b,TOI-1431,TIC 375506058,Gaia DR2 2188906825165621120,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1437 b,TOI-1437,TIC 198356533,Gaia DR2 1433416717674304640,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1439 b,TOI-1439,TIC 232982558,Gaia DR2 1643587094012857984,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1442 b,TOI-1442,TIC 235683377,Gaia DR2 2265154211335825152,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1443 b,TOI-1443,TIC 237232044,Gaia DR2 2289567866301169664,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1444 b,TOI-1444,TIC 258514800,Gaia DR2 2274696151198328960,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1448 b,TOI-1448,TIC 343628284,Gaia DR2 2189711770761074816,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1450 A b,TOI-1450 A,TIC 377293776,Gaia DR2 2155540255030594560,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1451 b,TOI-1451,TIC 417931607,Gaia DR2 1581799694493008384,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1452 b,TOI-1452,TIC 420112589,Gaia DR2 2264839957167921024,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1467 b,TOI-1467,TIC 240968774,Gaia DR2 403141126645929728,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1468 b,TOI-1468,TIC 243185500,Gaia DR2 2785466581298775680,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1468 c,TOI-1468,TIC 243185500,Gaia DR2 2785466581298775680,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1470 b,TOI-1470,TIC 284441182,Gaia DR2 427224073427887360,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1470 c,TOI-1470,TIC 284441182,Gaia DR2 427224073427887360,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1472 b,TOI-1472,TIC 306955329,Gaia DR2 402396521052843264,1,Transiting Exoplanet Survey Satellite (TESS)
TOI-1478 b,TOI-1478,TIC 409794137,Gaia DR2 5723638723350902400,1,Transiting Exoplanet Survey Satellite (TESS)
